TargetName,MatrisomeDivision,MatrisomeCategory
HHIP,Matrisome-associated,Secreted Factors
PLXNB1,Matrisome-associated,ECM-affiliated Proteins
ANXA11,Matrisome-associated,ECM-affiliated Proteins
ADAM22,Matrisome-associated,ECM Regulators
SFRP2,Matrisome-associated,Secreted Factors
CBLN2,Matrisome-associated,Secreted Factors
SEMA4A,Matrisome-associated,ECM-affiliated Proteins
LGALS1,Matrisome-associated,ECM-affiliated Proteins
ADAM9,Matrisome-associated,ECM Regulators
SEMA4C,Matrisome-associated,ECM-affiliated Proteins
COL9A2,Core matrisome,Collagens
ELFN2,Matrisome-associated,ECM-affiliated Proteins
EDIL3,Core matrisome,ECM Glycoproteins
MEGF10,Matrisome-associated,Secreted Factors
SLIT1,Core matrisome,ECM Glycoproteins
MUC3A,Matrisome-associated,ECM-affiliated Proteins
CCL2,Matrisome-associated,Secreted Factors
FGF13,Matrisome-associated,Secreted Factors
SEMA3B,Matrisome-associated,ECM-affiliated Proteins
CTSF,Matrisome-associated,ECM Regulators
FLT3LG,Matrisome-associated,Secreted Factors
COL11A2,Core matrisome,Collagens
SPP1,Core matrisome,ECM Glycoproteins
SEMA6B,Matrisome-associated,ECM-affiliated Proteins
CTSA,Matrisome-associated,ECM Regulators
C1QTNF4,Matrisome-associated,ECM-affiliated Proteins
SEMA6A,Matrisome-associated,ECM-affiliated Proteins
GREM1,Matrisome-associated,ECM-affiliated Proteins
PARM1,Matrisome-associated,ECM-affiliated Proteins
GLDN,Core matrisome,ECM Glycoproteins
CELA2A,Matrisome-associated,ECM Regulators
TNF,Matrisome-associated,Secreted Factors
LTA,Matrisome-associated,Secreted Factors
PRELP,Core matrisome,Proteoglycans
CST3,Matrisome-associated,ECM Regulators
HSPG2,Core matrisome,Proteoglycans
FGF3,Matrisome-associated,Secreted Factors
SEMA4B,Matrisome-associated,ECM-affiliated Proteins
SPARC,Core matrisome,ECM Glycoproteins
SPOCK1,Core matrisome,Proteoglycans
EMID1,Core matrisome,ECM Glycoproteins
S100A6,Matrisome-associated,Secreted Factors
VEGFC,Matrisome-associated,Secreted Factors
SEMA4D,Matrisome-associated,ECM-affiliated Proteins
PLXNB3,Matrisome-associated,ECM-affiliated Proteins
FBN3,Core matrisome,ECM Glycoproteins
IGF2,Matrisome-associated,Secreted Factors
PLXNB2,Matrisome-associated,ECM-affiliated Proteins
EFEMP1,Core matrisome,ECM Glycoproteins
OGFOD2,Matrisome-associated,ECM Regulators
POMZP3,Core matrisome,ECM Glycoproteins
TIMP1,Matrisome-associated,ECM Regulators
COL6A1,Core matrisome,Collagens
FGF12,Matrisome-associated,Secreted Factors
FCN1,Matrisome-associated,ECM-affiliated Proteins
AEBP1,Core matrisome,ECM Glycoproteins
NTNG1,Core matrisome,ECM Glycoproteins
LGI4,Core matrisome,ECM Glycoproteins
CSH2,Matrisome-associated,Secreted Factors
